level,metric_name,dataset,split,label,mean,None
image-level,MMD,mvtec_capsule+pill,test,0,0.5803528894709645,0
image-level,MMD,mvtec_capsule_0.02+pill_0.02,test,0,0.5862835030883871,0
patch-level,MMD,mvtec_capsule+pill+bottle,val,1,0.5905337199332608,0
patch-level,MMD,mvtec_capsule+pill+bottle,test,1,0.5965282747421409,0
image-level,MMD,mvtec_capsule+pill+bottle,val,0,0.6572740057577942,0
image-level,MMD,mvtec_capsule_0.02+pill_0.02,test,1,0.6593507508773521,0
patch-level,MMD,mvtec_capsule+pill+bottle,train,0,0.6654116672124183,0
image-level,MMD,mvtec_capsule+pill,test,1,0.6681199641639077,0
image-level,MMD,mvtec_capsule_0.02+pill_0.02,val,1,0.6829792271532574,0
image-level,MMD,mvtec_capsule+pill,val,1,0.7070130113488696,0
image-level,MMD,lg_PCBNG_0.1,val,0,0.7170044060325753,0
image-level,MMD,lg_PCBNG,val,0,0.7170044060325753,0
image-level,MMD,lg_PCBNG_0.01,val,0,0.7170360827297777,0
image-level,MMD,lg_PCBNG_0.01_M,train,0,0.7171809705904253,0
image-level,MMD,mvtec_capsule,val,0,0.7364561757451791,0
image-level,MMD,mvtec_capsule_0.02,val,0,0.736553516551058,0
image-level,MMD,lg_PCBNG_0.01_M,val,1,0.7696399945978637,0
image-level,MMD,mvtec_capsule+pill+bottle,test,0,0.7824896071622381,0
image-level,MMD,lg_PCBNG_0.01_M,val,0,0.8902253800693957,0
image-level,MMD,mvtec_capsule+pill+bottle,test,1,0.9616789113493599,0
image-level,MMD,mvtec_capsule+pill+bottle,val,1,0.987728546855441,0
image-level,MMD,lg_PCBNG_0.01,train,0,0.9992733517354027,0
patch-level,MMD,lg_PCBNG_0.01,val,1,1.2153729482906896,0
patch-level,MMD,lg_PCBNG_0.1,val,1,1.2176209710482333,0
patch-level,MMD,lg_PCBNG,val,1,1.2243486949655171,0
patch-level,MMD,lg_PCBNG_0.1,train,0,1.7882402693291017,0
patch-level,MMD,lg_PCBNG,test,1,1.9594414707300758,0
patch-level,MMD,lg_PCBNG_0.01_M,test,1,1.9765911222048917,0
patch-level,MMD,lg_PCBNG_0.1,test,1,1.9813146880559762,0
patch-level,MMD,lg_PCBNG_0.01,test,1,2.02127281940265,0
patch-level,MMD,lg_PCBNG_0.01_M,test,0,2.1543258919980373,0
patch-level,MMD,lg_PCBNG_0.1,test,0,2.2781645261153654,0
patch-level,MMD,lg_PCBNG,test,0,2.317579508807484,0
patch-level,MMD,lg_PCBNG_0.01,test,0,2.3392344410290127,0
patch-level,MMD,lg_PCBNG,train,0,2.3533285036601304,0
image-level,MMD,mvtec_capsule,val,1,3.459293138880889,0
image-level,MMD,mvtec_capsule_0.02,val,1,3.5107699580613683,0
image-level,MMD,lg_PCBNG_0.1,val,1,3.9690598430460042,0
image-level,MMD,lg_PCBNG_0.01,val,1,4.042323118234282,0
image-level,MMD,lg_PCBNG,val,1,4.050608792927086,0
image-level,MMD,mvtec_capsule_0.02,test,0,4.108221809251759,0
image-level,MMD,mvtec_capsule,test,0,4.136481880153493,0
image-level,MMD,mvtec_capsule_0.02,test,1,6.498993994531481,0
image-level,MMD,mvtec_capsule,test,1,6.558010037417316,0
image-level,MMD,lg_PCBNG_0.01_M,test,0,9.611948437480663,0
image-level,MMD,lg_PCBNG_0.1,train,0,9.913378275717417,0
image-level,MMD,mvtec_capsule_0.02+pill_0.02,train,0,10.647207915735889,0
image-level,MMD,lg_PCBNG_0.01,test,0,10.982187372366676,0
image-level,MMD,lg_PCBNG_0.1,test,0,11.02163786168036,0
image-level,MMD,lg_PCBNG,test,0,11.349269593389664,0
image-level,MMD,mvtec_capsule,train,0,12.852045778003491,0
image-level,MMD,lg_PCBNG,test,1,17.166274310880254,0
image-level,MMD,lg_PCBNG_0.01,test,1,17.44239925617483,0
image-level,MMD,lg_PCBNG_0.1,test,1,17.958896796493754,0
image-level,MMD,lg_PCBNG,train,0,18.40797868129898,0
image-level,MMD,lg_PCBNG_0.01_M,test,1,18.612349679475397,0
image-level,MMD,mvtec_capsule+pill+bottle,train,0,39.18629486320747,0
image-level,MMD,mvtec_capsule+pill,train,0,43.42992716607524,0
image-level,MSE,mvtec_capsule_0.02,train,0,2.2481877749669366e-05,0
image-level,MSE,mvtec_capsule_0.02,val,0,2.3382999119348823e-05,0
image-level,MSE,mvtec_capsule,val,0,2.3386056600429583e-05,0
image-level,MSE,mvtec_capsule,train,0,2.508168342683348e-05,0
image-level,MSE,mvtec_capsule_0.02,test,0,2.658933700513444e-05,0
image-level,MSE,mvtec_capsule,test,0,2.6650359515770104e-05,0
image-level,MSE,mvtec_capsule_0.02,test,1,3.2915757157752524e-05,0
image-level,MSE,mvtec_capsule,test,1,3.2939757649728564e-05,0
image-level,MSE,mvtec_capsule_0.02,val,1,3.489259336856776e-05,0
image-level,MSE,mvtec_capsule,val,1,3.502781210409012e-05,0
image-level,MSE,mvtec_capsule+pill,train,0,0.0005759879054967314,0
image-level,MSE,mvtec_capsule+pill,test,0,0.0005815859157009981,0
